Milliseconds,RPM,RPM EGO Motor,Brake Motor RPM,PWM Duty Cycle(%),Counter Torque,Counter Torque(Nm),ESC Voltage(V),ESC Input Current(A)
30600,0,0,0,7.2,0,0,8.41,0.610000
30700,0,0,0,7.2,0,0,8.41,0.550000
30800,0,0,0,7.2,0,0,8.41,0.550000
30900,0,0,0,7.2,0,0,8.41,0.610000
31000,0,0,0,7.2,0,0,8.41,0.610000
31100,0,0,0,7.2,0,0,8.41,0.550000
31200,0,0,0,7.2,0,0,8.41,0.610000
31300,0,0,0,7.2,0,0,8.41,0.610000
31400,0,0,0,7.2,0,0,8.41,0.550000
31500,0,0,0,7.2,0,0,8.41,0.550000
31600,0,0,0,7.2,0,0,8.41,0.610000
31700,0,0,0,7.2,0,0,8.41,0.550000
31800,0,0,0,7.2,0,0,8.41,0.550000
31900,0,0,0,7.2,0,0,8.41,0.610000
32000,0,0,0,7.2,0,0,8.41,0.550000
32100,0,0,0,7.2,0,0,8.41,0.610000
32200,0,0,0,7.2,0,0,8.41,0.550000
32300,0,0,0,7.2,0,0,8.41,0.550000
32400,0,0,0,7.2,0,0,8.41,0.550000
32500,0,0,0,7.2,0,0,8.41,0.610000
32600,0,0,0,7.2,0,0,8.41,0.610000
32700,0,0,0,7.2,0,0,8.41,0.550000
32800,0,0,0,7.2,0,0,8.41,0.610000
32900,0,0,0,7.2,0,0,8.41,0.550000
33000,0,0,0,7.2,0,0,8.41,0.610000
33100,0,0,0,7.2,0,0,8.41,0.610000
33200,0,0,0,7.2,0,0,8.41,0.550000
33300,0,0,0,7.2,0,0,8.41,0.550000
33400,0,0,0,7.2,0,0,8.41,0.610000
33500,0,0,0,7.2,0,0,8.41,0.550000
33600,0,0,0,7.2,0,0,8.41,0.550000
33700,0,0,0,7.2,0,0,8.41,0.610000
33800,0,0,0,7.2,0,0,8.41,0.610000
33900,0,0,0,7.2,0,0,8.41,0.610000
34000,0,0,0,7.2,0,0,8.41,0.550000
34100,0,0,0,7.2,0,0,8.41,0.610000
34200,0,0,0,7.2,0,0,8.41,0.610000
34300,0,0,0,7.2,0,0,8.41,0.610000
34400,0,0,0,7.2,0,0,8.41,0.610000
34500,0,0,0,7.2,0,0,8.41,0.550000
34600,0,0,0,7.2,0,0,8.41,0.550000
34700,0,0,0,7.2,0,0,8.41,0.610000
34800,0,0,0,7.2,0,0,8.41,0.610000
34900,0,0,0,7.2,0,0,8.41,0.610000
35000,0,0,0,7.2,0,0,8.41,0.610000
35100,0,0,0,7.2,0,0,8.41,0.610000
35200,0,0,0,7.2,0,0,8.41,0.610000
35300,0,0,0,7.2,0,0,8.41,0.550000
35400,0,0,0,7.2,0,0,8.41,0.610000
35500,0,0,0,7.2,0,0,8.41,0.610000
35600,0,0,0,7.2,0,0,8.41,0.550000
35700,0,0,0,7.2,0,0,8.41,0.610000
35800,0,0,0,7.2,0,0,8.41,0.610000
35900,0,0,0,7.2,0,0,8.41,0.490000
36000,0,0,0,7.2,0,0,8.41,0.550000
36100,0,0,0,7.2,0,0,8.41,0.550000
36200,0,0,0,7.2,0,0,8.41,0.610000
36300,0,0,0,7.2,0,0,8.41,0.550000
36400,0,0,0,7.2,0,0,8.41,0.490000
36500,0,0,0,7.2,0,0,8.41,0.610000
36600,0,0,0,7.2,0,0,8.41,0.610000
36700,0,0,0,7.2,0,0,8.41,0.550000
36800,0,0,0,7.2,0,0,8.41,0.550000
36900,0,0,0,7.2,0,0,8.41,0.550000
37000,0,0,0,7.2,0,0,8.41,0.610000
37100,0,0,0,7.2,0,0,8.41,0.550000
37200,0,0,0,7.2,0,0,8.41,0.550000
37300,0,0,0,7.2,0,0,8.41,0.610000
37400,0,0,0,7.2,0,0,8.41,0.610000
37500,0,0,0,7.2,0,0,8.41,0.550000
37600,0,0,0,7.2,0,0,8.41,0.550000
37700,0,0,0,7.2,0,0,8.41,0.550000
37800,0,0,0,7.2,0,0,8.41,0.610000
37900,0,0,0,7.2,0,0,8.41,0.550000
38000,0,0,0,7.2,0,0,8.41,0.550000
38100,0,0,0,7.2,0,0,8.41,0.550000
38200,0,0,0,7.2,0,0,8.41,0.550000
38300,0,0,0,7.2,0,0,8.41,0.550000
38400,0,0,0,7.2,0,0,8.41,0.550000
38500,0,0,0,7.2,0,0,8.41,0.550000
38600,0,0,0,7.2,0,0,8.41,0.610000
38700,0,0,0,7.2,0,0,8.41,0.610000
38800,0,0,0,10,0,0,8.41,0.920000
38900,0,0,0,10,0,0,8.41,0.920000
39000,0,0,0,10,0,0,8.41,0.980000
39100,0,0,0,10,0,0,8.41,0.980000
39200,0,0,0,10,0,0,8.41,0.980000
39300,0,0,0,10,0,0,8.41,1.050000
39400,0,0,0,10,0,0,8.41,1.050000
39500,0,0,0,10,0,0,8.41,1.050000
39600,0,0,0,10,0,0,8.41,0.980000
39700,0,0,0,10,0,0,8.41,0.980000
39800,0,0,0,10,0,0,8.41,1.050000
