Milliseconds,RPM,RPM EGO Motor,Brake Motor RPM,PWM Duty Cycle(%),Counter Torque,Counter Torque(Nm),ESC Voltage(V),ESC Input Current(A)
31100,0,0,0,7.2,0,0,8.41,0.55
31200,0,0,0,7.2,0,0,8.41,0.61
31300,0,0,0,7.2,0,0,8.41,0.61
31400,0,0,0,7.2,0,0,8.41,0.55
31500,0,0,0,7.2,0,0,8.41,0.55
31600,0,0,0,7.2,0,0,8.41,0.61
31700,0,0,0,7.2,0,0,8.41,0.55
31800,0,0,0,7.2,0,0,8.41,0.55
31900,0,0,0,7.2,0,0,8.41,0.61
32000,0,0,0,7.2,0,0,8.41,0.55
32100,0,0,0,7.2,0,0,8.41,0.61
32200,0,0,0,7.2,0,0,8.41,0.55
32300,0,0,0,7.2,0,0,8.41,0.55
32400,0,0,0,7.2,0,0,8.41,0.55
32500,0,0,0,7.2,0,0,8.41,0.61
32600,0,0,0,7.2,0,0,8.41,0.61
32700,0,0,0,7.2,0,0,8.41,0.55
32800,0,0,0,7.2,0,0,8.41,0.61
32900,0,0,0,7.2,0,0,8.41,0.55
33000,0,0,0,7.2,0,0,8.41,0.61
33100,0,0,0,7.2,0,0,8.41,0.61
33200,0,0,0,7.2,0,0,8.41,0.55
33300,0,0,0,7.2,0,0,8.41,0.55
33400,0,0,0,7.2,0,0,8.41,0.61
33500,0,0,0,7.2,0,0,8.41,0.55
33600,0,0,0,7.2,0,0,8.41,0.55
33700,0,0,0,7.2,0,0,8.41,0.61
33800,0,0,0,7.2,0,0,8.41,0.61
33900,0,0,0,7.2,0,0,8.41,0.61
34000,0,0,0,7.2,0,0,8.41,0.55
34100,0,0,0,7.2,0,0,8.41,0.61
34200,0,0,0,7.2,0,0,8.41,0.61
34300,0,0,0,7.2,0,0,8.41,0.61
34400,0,0,0,7.2,0,0,8.41,0.61
34500,0,0,0,7.2,0,0,8.41,0.55
34600,0,0,0,7.2,0,0,8.41,0.55
34700,0,0,0,7.2,0,0,8.41,0.61
34800,0,0,0,7.2,0,0,8.41,0.61
34900,0,0,0,7.2,0,0,8.41,0.61
35000,0,0,0,7.2,0,0,8.41,0.61
35100,0,0,0,7.2,0,0,8.41,0.61
35200,0,0,0,7.2,0,0,8.41,0.61
35300,0,0,0,7.2,0,0,8.41,0.55
35400,0,0,0,7.2,0,0,8.41,0.61
35500,0,0,0,7.2,0,0,8.41,0.61
35600,0,0,0,7.2,0,0,8.41,0.55
35700,0,0,0,7.2,0,0,8.41,0.61
35800,0,0,0,7.2,0,0,8.41,0.61
35900,0,0,0,7.2,0,0,8.41,0.49
36000,0,0,0,7.2,0,0,8.41,0.55
36100,0,0,0,7.2,0,0,8.41,0.55
36200,0,0,0,7.2,0,0,8.41,0.61
