volt,current,rpm
1,1.1,2426
1.5,1.2,3958
2,1.3,5470
2.5,1.4,7020
3,1.5,8475
3.5,1.56,10120
4,1.6,11595
4.5,1.73,13105
5,1.83,14640
5.5,1.96,16115
6,2.1,17608
6.5,2.2,18990
7,2.3,20500
7.5,2.4,21907
