volt,rpm,current,R_motor,L_motor,kt_motor
1.0,2713.03,1.12123,0.139807,6e-07,0.00196266
1.5,4284.26,1.2033,0.139807,6e-07,0.00196266
2.0,5855.69,1.28477,0.139807,6e-07,0.00196266
2.5,7427.52,1.36524,0.139807,6e-07,0.00196266
3.0,8999.07,1.44649,0.139807,6e-07,0.00196266
3.5,10570.8,1.52725,0.139807,6e-07,0.00196266
4.0,12142.1,1.609,0.139807,6e-07,0.00196266
4.5,13713.5,1.69055,0.139807,6e-07,0.00196266
5.0,15285.5,1.77059,0.139807,6e-07,0.00196266
5.5,16857.1,1.85184,0.139807,6e-07,0.00196266
6.0,18428.6,1.93295,0.139807,6e-07,0.00196266
6.5,19999.8,2.01528,0.139807,6e-07,0.00196266
7.0,21571.4,2.09618,0.139807,6e-07,0.00196266
7.5,23143.1,2.177,0.139807,6e-07,0.00196266
