volt,rpm,current,R_motor,L_motor,kt_motor
1.0,2714.88,1.17766,0.132616,6e-07,0.00164937
1.5,4282.21,1.2733,0.132616,6e-07,0.00164937
2.0,5849.9,1.36786,0.132616,6e-07,0.00164937
2.5,7417.53,1.46264,0.132616,6e-07,0.00164937
3.0,8984.95,1.55803,0.132616,6e-07,0.00164937
3.5,10552.6,1.65289,0.132616,6e-07,0.00164937
4.0,12120.3,1.74738,0.132616,6e-07,0.00164937
4.5,13688.1,1.84156,0.132616,6e-07,0.00164937
5.0,15255.6,1.93687,0.132616,6e-07,0.00164937
5.5,16823.1,2.03203,0.132616,6e-07,0.00164937
6.0,18390.6,2.12704,0.132616,6e-07,0.00164937
6.5,19958.2,2.2219,0.132616,6e-07,0.00164937
7.0,21525.8,2.31669,0.132616,6e-07,0.00164937
7.5,23093.5,2.4114,0.132616,6e-07,0.00164937
