volt,rpm,current,R_motor,L_motor,kt_motor
1.0,2535.11,1.34546,0.157623,6e-07,0.00153787
1.5,4092.63,1.44516,0.157623,6e-07,0.00153787
2.0,5649.9,1.5454,0.157623,6e-07,0.00153787
2.5,7207.32,1.64532,0.157623,6e-07,0.00153787
3.0,8765.14,1.74429,0.157623,6e-07,0.00153787
3.5,10322.2,1.84497,0.157623,6e-07,0.00153787
4.0,11880.0,1.94407,0.157623,6e-07,0.00153787
4.5,13437.4,2.04399,0.157623,6e-07,0.00153787
5.0,14995.0,2.1436,0.157623,6e-07,0.00153787
5.5,16552.6,2.24307,0.157623,6e-07,0.00153787
6.0,18109.8,2.34344,0.157623,6e-07,0.00153787
6.5,19667.1,2.44368,0.157623,6e-07,0.00153787
7.0,21224.9,2.54265,0.157623,6e-07,0.00153787
7.5,22782.3,2.6427,0.157623,6e-07,0.00153787
