volt,current,rpm
1,1.116666667,2409.166667
1.5,1.226666667,3950.333333
2,1.286666667,5469.666667
2.5,1.363333333,7023.833333
3,1.55,8464.333333
3.5,1.501666667,10096.16667
4,1.608333333,11598
4.5,1.713333333,13107.5
5,1.828333333,14641.66667
5.5,1.945,16129.16667
6,2.086666667,17603.83333
6.5,2.12,18957.5
7,2.256666667,20480
7.5,2.318333333,21872
