volt,rpm,current,R_motor,L_motor,kt_motor
1.0,2449.11,1.49427,0.159823,6e-07,0.00151999
1.5,4005.67,1.59451,0.159823,6e-07,0.00151999
2.0,5562.57,1.694,0.159823,6e-07,0.00151999
2.5,7119.16,1.79417,0.159823,6e-07,0.00151999
3.0,8676.17,1.89341,0.159823,6e-07,0.00151999
3.5,10233.0,1.99314,0.159823,6e-07,0.00151999
4.0,11789.4,2.0935,0.159823,6e-07,0.00151999
4.5,13346.1,2.19355,0.159823,6e-07,0.00151999
5.0,14902.9,2.29335,0.159823,6e-07,0.00151999
5.5,16459.7,2.39296,0.159823,6e-07,0.00151999
6.0,18016.6,2.49238,0.159823,6e-07,0.00151999
6.5,19573.1,2.59268,0.159823,6e-07,0.00151999
7.0,21129.7,2.69298,0.159823,6e-07,0.00151999
7.5,22686.8,2.79203,0.159823,6e-07,0.00151999
