volt,rpm,current,R_motor,L_motor,kt_motor
1.0,2396.05,1.53999,0.165786,6e-07,0.00141233
1.5,3943.85,1.65304,0.165786,6e-07,0.00141233
2.0,5492.23,1.76493,0.165786,6e-07,0.00141233
2.5,7040.39,1.8773,0.165786,6e-07,0.00141233
3.0,8588.54,1.98962,0.165786,6e-07,0.00141233
3.5,10136.5,2.10235,0.165786,6e-07,0.00141233
4.0,11684.7,2.2146,0.165786,6e-07,0.00141233
4.5,13232.6,2.32752,0.165786,6e-07,0.00141233
5.0,14781.1,2.43911,0.165786,6e-07,0.00141233
5.5,16328.7,2.55257,0.165786,6e-07,0.00141233
6.0,17876.9,2.66482,0.165786,6e-07,0.00141233
6.5,19425.2,2.77689,0.165786,6e-07,0.00141233
7.0,20973.6,2.88884,0.165786,6e-07,0.00141233
7.5,22521.5,3.0017,0.165786,6e-07,0.00141233
