volt,rpm,current,R_motor,L_motor,kt_motor
1.0,2508.47,1.34635,0.163669,6e-07,0.00153196
1.5,4061.15,1.45159,0.163669,6e-07,0.00153196
2.0,5614.17,1.55613,0.163669,6e-07,0.00153196
2.5,7166.87,1.66134,0.163669,6e-07,0.00153196
3.0,8719.99,1.76564,0.163669,6e-07,0.00153196
3.5,10272.9,1.87042,0.163669,6e-07,0.00153196
4.0,11825.5,1.97582,0.163669,6e-07,0.00153196
4.5,13378.3,2.08091,0.163669,6e-07,0.00153196
5.0,14931.1,2.18575,0.163669,6e-07,0.00153196
5.5,16484.1,2.29035,0.163669,6e-07,0.00153196
6.0,18037.2,2.39483,0.163669,6e-07,0.00153196
6.5,19589.8,2.50017,0.163669,6e-07,0.00153196
7.0,21142.5,2.60544,0.163669,6e-07,0.00153196
7.5,22695.7,2.70955,0.163669,6e-07,0.00153196
