volt,rpm,current,R_motor,L_motor,kt_motor
1.0,2484.38,1.4768,0.154281,6e-07,0.00147641
1.5,4039.15,1.58419,0.154281,6e-07,0.00147641
2.0,5593.74,1.69204,0.154281,6e-07,0.00147641
2.5,7148.5,1.79951,0.154281,6e-07,0.00147641
3.0,8703.67,1.906,0.154281,6e-07,0.00147641
3.5,10258.6,2.01302,0.154281,6e-07,0.00147641
4.0,11813.3,2.12074,0.154281,6e-07,0.00147641
4.5,13368.0,2.22814,0.154281,6e-07,0.00147641
5.0,14923.0,2.33522,0.154281,6e-07,0.00147641
5.5,16478.0,2.4421,0.154281,6e-07,0.00147641
6.0,18033.0,2.54886,0.154281,6e-07,0.00147641
6.5,19587.7,2.65652,0.154281,6e-07,0.00147641
7.0,21142.4,2.76411,0.154281,6e-07,0.00147641
7.5,22697.6,2.87048,0.154281,6e-07,0.00147641
