volt,rpm,current,R_motor,L_motor,kt_motor
1.0,2690.74,1.09122,0.150019,6e-07,0.00182911
1.5,4260.45,1.17065,0.150019,6e-07,0.00182911
2.0,5830.04,1.25037,0.150019,6e-07,0.00182911
2.5,7399.61,1.33016,0.150019,6e-07,0.00182911
3.0,8969.46,1.40929,0.150019,6e-07,0.00182911
3.5,10539.0,1.48908,0.150019,6e-07,0.00182911
4.0,12108.2,1.5698,0.150019,6e-07,0.00182911
4.5,13678.0,1.64899,0.150019,6e-07,0.00182911
5.0,15247.4,1.72925,0.150019,6e-07,0.00182911
5.5,16817.3,1.8081,0.150019,6e-07,0.00182911
6.0,18386.8,1.88803,0.150019,6e-07,0.00182911
6.5,19956.4,1.96782,0.150019,6e-07,0.00182911
7.0,21526.0,2.04754,0.150019,6e-07,0.00182911
7.5,23095.6,2.1272,0.150019,6e-07,0.00182911
