volt,rpm,current,R_motor,L_motor,kt_motor
1.0,2553.27,1.3591,0.151891,6e-07,0.00163281
1.5,4116.79,1.45025,0.151891,6e-07,0.00163281
2.0,5680.42,1.54117,0.151891,6e-07,0.00163281
2.5,7243.63,1.63308,0.151891,6e-07,0.00163281
3.0,8807.18,1.7242,0.151891,6e-07,0.00163281
3.5,10371.0,1.81472,0.151891,6e-07,0.00163281
4.0,11934.4,1.90604,0.151891,6e-07,0.00163281
4.5,13498.0,1.99702,0.151891,6e-07,0.00163281
5.0,15061.2,2.089,0.151891,6e-07,0.00163281
5.5,16625.0,2.17959,0.151891,6e-07,0.00163281
6.0,18188.3,2.27117,0.151891,6e-07,0.00163281
6.5,19751.7,2.36262,0.151891,6e-07,0.00163281
7.0,21315.7,2.45281,0.151891,6e-07,0.00163281
7.5,22879.2,2.54406,0.151891,6e-07,0.00163281
