volt,rpm,current,R_motor,L_motor,kt_motor
1.0,2627.12,1.24262,0.147649,6e-07,0.00170287
1.5,4191.52,1.33458,0.147649,6e-07,0.00170287
2.0,5755.91,1.42663,0.147649,6e-07,0.00170287
2.5,7320.81,1.51738,0.147649,6e-07,0.00170287
3.0,8885.02,1.60983,0.147649,6e-07,0.00170287
3.5,10449.9,1.70052,0.147649,6e-07,0.00170287
4.0,12014.0,1.79331,0.147649,6e-07,0.00170287
4.5,13578.7,1.88454,0.147649,6e-07,0.00170287
5.0,15143.5,1.97563,0.147649,6e-07,0.00170287
5.5,16707.9,2.06767,0.147649,6e-07,0.00170287
6.0,18272.3,2.15965,0.147649,6e-07,0.00170287
6.5,19836.8,2.25149,0.147649,6e-07,0.00170287
7.0,21401.3,2.34319,0.147649,6e-07,0.00170287
7.5,22965.8,2.43476,0.147649,6e-07,0.00170287
