volt,rpm,current,R_motor,L_motor,kt_motor
1.0,2475.02,1.43945,0.160315,6e-07,0.00142965
1.5,4022.69,1.55656,0.160315,6e-07,0.00142965
2.0,5570.29,1.67383,0.160315,6e-07,0.00142965
2.5,7118.12,1.7906,0.160315,6e-07,0.00142965
3.0,8665.89,1.90749,0.160315,6e-07,0.00142965
3.5,10213.5,2.02483,0.160315,6e-07,0.00142965
4.0,11760.8,2.14272,0.160315,6e-07,0.00142965
4.5,13308.7,2.25924,0.160315,6e-07,0.00142965
5.0,14856.3,2.37651,0.160315,6e-07,0.00142965
5.5,16404.0,2.49359,0.160315,6e-07,0.00142965
6.0,17951.3,2.61161,0.160315,6e-07,0.00142965
6.5,19499.1,2.72832,0.160315,6e-07,0.00142965
7.0,21046.5,2.84602,0.160315,6e-07,0.00142965
7.5,22594.5,2.96254,0.160315,6e-07,0.00142965
