volt,rpm,current,R_motor,L_motor,kt_motor
1.0,2599.58,1.30897,0.146699,6e-07,0.00164063
1.5,4163.93,1.40171,0.146699,6e-07,0.00164063
2.0,5728.81,1.49313,0.146699,6e-07,0.00164063
2.5,7293.24,1.5857,0.146699,6e-07,0.00164063
3.0,8857.99,1.67745,0.146699,6e-07,0.00164063
3.5,10422.5,1.76988,0.146699,6e-07,0.00164063
4.0,11987.1,1.86191,0.146699,6e-07,0.00164063
4.5,13551.8,1.95366,0.146699,6e-07,0.00164063
5.0,15116.2,2.04644,0.146699,6e-07,0.00164063
5.5,16681.1,2.13778,0.146699,6e-07,0.00164063
6.0,18245.6,2.23014,0.146699,6e-07,0.00164063
6.5,19810.1,2.32238,0.146699,6e-07,0.00164063
7.0,21374.7,2.4146,0.146699,6e-07,0.00164063
7.5,22939.4,2.50663,0.146699,6e-07,0.00164063
