volt,rpm,current,R_motor,L_motor,kt_motor
1.0,2384.14,1.60634,0.161243,6e-07,0.00135278
1.5,3935.31,1.71611,0.161243,6e-07,0.00135278
2.0,5487.11,1.82458,0.161243,6e-07,0.00135278
2.5,7038.72,1.93342,0.161243,6e-07,0.00135278
3.0,8590.32,2.04232,0.161243,6e-07,0.00135278
3.5,10141.7,2.15154,0.161243,6e-07,0.00135278
4.0,11693.4,2.26025,0.161243,6e-07,0.00135278
4.5,13245.3,2.3686,0.161243,6e-07,0.00135278
5.0,14796.8,2.47775,0.161243,6e-07,0.00135278
5.5,16348.4,2.58659,0.161243,6e-07,0.00135278
6.0,17900.0,2.69531,0.161243,6e-07,0.00135278
6.5,19451.8,2.80378,0.161243,6e-07,0.00135278
7.0,21003.1,2.91324,0.161243,6e-07,0.00135278
7.5,22555.0,3.02153,0.161243,6e-07,0.00135278
