volt,rpm,current,R_motor,L_motor,kt_motor
1.0,2669.35,1.16255,0.146533,6e-07,0.00170497
1.5,4236.43,1.24955,0.146533,6e-07,0.00170497
2.0,5803.97,1.3354,0.146533,6e-07,0.00170497
2.5,7371.01,1.42241,0.146533,6e-07,0.00170497
3.0,8938.36,1.50874,0.146533,6e-07,0.00170497
3.5,10505.4,1.59582,0.146533,6e-07,0.00170497
4.0,12072.6,1.68242,0.146533,6e-07,0.00170497
4.5,13639.5,1.77004,0.146533,6e-07,0.00170497
5.0,15206.9,1.85624,0.146533,6e-07,0.00170497
5.5,16773.9,1.94345,0.146533,6e-07,0.00170497
6.0,18340.9,2.03047,0.146533,6e-07,0.00170497
6.5,19908.5,2.11618,0.146533,6e-07,0.00170497
7.0,21475.6,2.20305,0.146533,6e-07,0.00170497
7.5,23042.3,2.29102,0.146533,6e-07,0.00170497
